,Unnamed: 0,Unnamed: 0.1,CASE_NO,Decision_Date,Case_Status,APPLICATION_TYPE,Employer_Name,Employer_address_1,Employer_address_2,Employer_City,Employer_State,Employer_Postal_Code,2007_NAICS_US_CODE,2007_NAICS_US_TITLE,US_ECONOMIC_SECTOR,PW_SOC_Code,PW_SOC_TITLE,PW_Job_Title_9089,PW_LEVEL_9089,PW_SOURCE_NAME_9089,PW_AMOUNT_9089,PW_UNIT_OF_PAY_9089,WAGE_OFFERED_FROM_9089,WAGE_OFFERED_TO_9089,WAGE_OFFERED_UNIT_OF_PAY_9089,Job_Info_Work_City,Job_Info_Work_State,Country_of_Citizenship,Class_of_Admission,Annual_Wage,Certified
383,11453,14004,A-13162-70774,2014/4/17 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85176.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,85176.0,1
384,11462,14014,A-13163-71286,2014/4/17 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85176.0,142900.0,Year,Folsiom,CALIFORNIA,INDIA,H-1B,85176.0,1
388,11579,14143,A-13212-84614,2014/3/18 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level III,OES,121285.0,Year,122000.0,135000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,121285.0,1
389,11587,14152,A-13246-93359,2014/4/29 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2061,Computer Hardware Engineers,Computer Hardware Engineers,,Other,79702.0,Year,79702.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,79702.0,1
390,11588,14153,A-13257-96850,2014/5/2 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2061,Computer Hardware Engineers,Computer Hardware Engineers,,Other,94983.0,Year,94983.0,142900.0,Year,Folsom,CALIFORNIA,CANADA,H-1B,94983.0,1
393,11764,14360,A-13295-03826,2014/5/5 00:00:00,Certified,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,89660.0,Year,90000.0,,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,89660.0,1
394,11765,14361,A-13296-04660,2014/6/19 00:00:00,Certified,ONLINE,"AERIS COMMUNICATIONS, INC.",2350 MISSION COLLEGE BLVD.,SUITE 600,SANTA CLARA,CALIFORNIA,95054,51791,Other Telecommunications,IT,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level IV,OES,147472.0,Year,147472.0,,Year,SANTA CLARA,CALIFORNIA,INDIA,H-1B,147472.0,1
398,11988,14612,A-14074-53347,2014/9/12 00:00:00,Certified,ONLINE,MIPS TECHNOLOGIES,3201 SCOTT BLVD.,,SANTA CLARA,CALIFORNIA,95054,541519,Other Computer Related Services,IT,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level IV,OES,144206.0,Year,185250.0,,Year,Sunnyvale,CALIFORNIA,UNITED KINGDOM,H-1B,144206.0,1
399,12052,14693,A-14006-30183,2014/7/9 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,80033.0,Year,80033.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,80033.0,1
400,12054,14695,A-13347-24832,2014/7/9 00:00:00,Certified,ONLINE,"SERVICENOW, INC.",3260 JAY STREET,,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level II,OES,98675.0,Year,135000.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,98675.0,1
401,12158,14819,A-13352-26186,2014/6/16 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level III,OES,109886.0,Year,109886.0,171300.0,Year,San Diego,CALIFORNIA,INDIA,H-1B,109886.0,1
402,12188,14857,A-13339-22205,2014/6/23 00:00:00,Certified,ONLINE,"ARISTA NETWORKS, INC.",5453 GREAT AMERICA PARKWAY,,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,96939.0,Year,97000.0,110000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,96939.0,1
403,12282,14971,A-12332-17185,2014/3/24 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,94432.0,Year,94432.0,104000.0,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,94432.0,1
405,12370,15079,A-14013-32093,2014/6/26 00:00:00,Certified,ONLINE,BIG SWITCH NETWORKS,3965 FREEDOM CIRCLE,SUITE 300,SANTA CLARA,CALIFORNIA,95054,511210,Software Publishers,IT,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level IV,OES,144206.0,Year,144206.0,,Year,Mountain View,CALIFORNIA,INDIA,H-1B,144206.0,1
406,12371,15080,A-14017-33796,2014/7/9 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,82077.0,Year,82077.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,82077.0,1
413,12536,15276,A-14029-36910,2014/9/17 00:00:00,Certified,ONLINE,"INTEL MOBILE COMMUNICATIONS, INC.",2200 MISSION COLLEGE BLVD. RN4-151,,SANTA CLARA,CALIFORNIA,95054,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,83648.0,Year,83782.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,83648.0,1
414,12549,15294,A-14027-36258,2014/8/26 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,95250.0,Year,95397.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,95250.0,1
416,12554,15299,A-14036-39238,2014/9/4 00:00:00,Certified,ONLINE,"INTEL MOBILE COMMUNICATIONS, INC.",2200 MISSION COLLEGE BLVD. RN4-151,,SANTA CLARA,CALIFORNIA,95054,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level III,OES,124030.0,Year,124030.0,171300.0,Year,Santa Clara,CALIFORNIA,SOUTH KOREA,H-1B,124030.0,1
418,12608,15364,A-14037-40005,2014/8/7 00:00:00,Certified,ONLINE,SERENE CORPORATION,"3211 SCOTT BLVD., SUITE 201",,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1121,Computer Systems Analysts,Computer Systems Analysts,Level IV,OES,114421.0,Year,114421.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,114421.0,1
424,12873,15687,A-14059-46600,2014/9/30 00:00:00,Certified,ONLINE,DIGIA USA INC,2350 MISSION COLLEGE BLVD.,SUITE 1020,SANTA CLARA,CALIFORNIA,95054,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,Other Economic Sector,15-1132,"Software Developers, Applications","Software Developers, Applications",Level IV,OES,134534.0,Year,134534.0,,Year,Santa Clara,CALIFORNIA,UNITED KINGDOM,H-1B,134534.0,1
427,12900,15720,A-14055-44450,2014/8/18 00:00:00,Certified,ONLINE,PERSISTENT SYSTEMS INC.,2055 LAURELWOOD ROAD,SUITE 210,SANTA CLARA,CALIFORNIA,95054,541512,Computer Systems Design Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level IV,OES,134534.0,Year,134534.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,134534.0,1
431,13010,15858,A-13045-40667,2014/7/3 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,78992.0,Year,78992.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,78992.0,1
432,13068,15930,A-13018-32366,2014/1/7 00:00:00,Certified-Expired,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,83648.0,Year,96000.0,,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,83648.0,1
434,13102,15970,A-13002-26886,2014/7/1 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,86822.0,Year,98000.0,,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,86822.0,1
435,13105,15975,A-13018-32292,2014/6/24 00:00:00,Certified,ONLINE,"APPLIED MATERIALS, INC.",3225 OAKMEAD VILLAGE DRIVE,,SANTA CLARA,CALIFORNIA,95054,33441,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,11-2021,Marketing Managers,Marketing Managers,,Other,113526.4,Year,113526.4,160000.0,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,113526.4,1
436,13126,16005,A-13017-31798,2014/5/9 00:00:00,Certified,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,102716.0,Year,105000.0,120000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,102716.0,1
440,13229,16133,A-12298-10284,2014/5/20 00:00:00,Certified,ONLINE,"APPLIED MATERIALS, INC.",3225 OAKMEAD VILLAGE DRIVE,,SANTA CLARA,CALIFORNIA,95054,33441,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,41-9031,Sales Engineers,Sales Engineers,,Other,90681.0,Year,90681.0,119400.0,Year,Santa Clara,CALIFORNIA,HONG KONG,H-1B,90681.0,1
441,13279,16194,A-12289-07134,2014/1/10 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,83204.0,Year,83204.0,88000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,83204.0,1
442,13290,16210,A-12349-22972,2013/12/4 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,78992.0,Year,78992.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,78992.0,1
443,13442,16397,A-13097-53477,2014/1/2 00:00:00,Certified-Expired,ONLINE,"APPLIED MATERIALS, INC.",3225 OAKMEAD VILLAGE DRIVE,,SANTA CLARA,CALIFORNIA,95054,33441,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2131,Materials Engineers,Materials Engineers,,Other,97795.0,Year,100419.0,116400.0,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,97795.0,1
444,13459,16419,A-13102-55433,2014/1/9 00:00:00,Certified-Expired,ONLINE,"PALO ALTO NETWORKS, INC.",4401 GREAT AMERICA PARKWAY,,SANTA CLARA,CALIFORNIA,95054,5415,Computer Systems Design and Related Services,IT,15-1142,Network and Computer Systems Administrators*,Network and Computer Systems Administrators*,Level II,OES,81619.0,Year,135000.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,81619.0,1
445,13500,16470,A-13046-40964,2013/11/7 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,78992.0,Year,78992.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,78992.0,1
448,13539,16512,A-13044-40183,2014/6/30 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85176.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,85176.0,1
449,13540,16514,A-13010-29563,2013/11/7 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,103770.0,Year,121285.0,180000.0,Year,Santa Clara,CALIFORNIA,CANADA,H-1B,103770.0,1
451,13561,16536,A-13007-27940,2014/6/2 00:00:00,Certified,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level I,OES,84178.0,Year,85000.0,105000.0,Year,Santa Clara,CALIFORNIA,CANADA,H-1B,84178.0,1
452,13577,16554,A-13218-85993,2014/3/31 00:00:00,Certified-Expired,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,15-1121,Computer Systems Analysts,Computer Systems Analysts,,Other,97876.0,Year,125000.0,,Year,Santa Clara,CALIFORNIA,MOROCCO,H-1B,97876.0,1
453,13616,16601,A-13039-39029,2013/10/28 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,78992.0,Year,78992.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,78992.0,1
454,13617,16602,A-13039-39076,2013/10/28 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,82559.0,Year,83219.0,180000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,82559.0,1
455,13627,16613,A-13044-40356,2014/7/15 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,78992.0,Year,78992.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,78992.0,1
456,13672,16673,A-13056-43090,2013/12/24 00:00:00,Certified-Expired,ONLINE,CRYSTALFISH INC,"3140 DE LA CRUZ BLVD, SUITE 200",,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level III,OES,128294.0,Year,134000.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,128294.0,1
457,13676,16677,A-13072-47869,2013/10/21 00:00:00,Certified-Expired,ONLINE,"ACROPETAL, INC.","5201 GREAT AMERICA PARKWAY,",SUITE 320,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1131,Computer Programmers,Computer Programmers,Level IV,OES,110968.0,Year,110968.0,,Year,San Franscisco,CALIFORNIA,INDIA,H-1B,110968.0,1
458,13758,16776,A-13070-46910,2013/11/14 00:00:00,Certified-Expired,ONLINE,"SERVICENOW, INC.",3260 JAY STREET,,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",,Other,112681.0,Year,115000.0,,Year,San Jose,CALIFORNIA,INDIA,H-1B,112681.0,1
459,13782,16806,A-13039-39000,2013/11/15 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,78992.0,Year,78992.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,78992.0,1
460,13788,16812,A-13032-37023,2013/10/28 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,78992.0,Year,78992.0,180000.0,Year,Folsom,CALIFORNIA,SOUTH KOREA,H-1B,78992.0,1
462,13825,16851,A-13044-40336,2013/12/4 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level IV,OES,112195.0,Year,112195.0,180000.0,Year,Folsom,CALIFORNIA,COSTA RICA,H-1B,112195.0,1
463,13846,16880,A-13035-37431,2013/11/15 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,86195.0,Year,86195.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,86195.0,1
464,13851,16885,A-13035-37553,2013/10/22 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,82370.0,Year,82378.0,180000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,82370.0,1
465,13867,16902,A-13029-35433,2013/11/7 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level III,OES,98675.0,Year,98675.0,180000.0,Year,Folsom,CALIFORNIA,TANZANIA,H-1B,98675.0,1
466,13874,16910,A-13030-36054,2014/8/4 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85176.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,85176.0,1
467,13887,16927,A-13032-36837,2013/11/7 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,82370.0,Year,82370.0,180000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,82370.0,1
469,13919,16966,A-13213-84774,2014/4/21 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,79702.0,Year,79702.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,79702.0,1
470,13934,16983,A-13199-81075,2014/4/8 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,83271.0,Year,102731.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,83271.0,1
471,13955,17006,A-13207-83427,2014/4/14 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85176.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,85176.0,1
472,13969,17024,A-13202-81739,2014/4/16 00:00:00,Certified,ONLINE,KRYPT INC,3945 FREEDOM CIRCLE,STE 550,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,13-1161,Market Research Analysts and Marketing Specialists*,Market Research Analysts and Marketing Specialists*,Level I,OES,53248.0,Year,100000.0,,Year,Sunnyvale,CALIFORNIA,INDIA,H-1B,53248.0,1
473,13989,17045,A-13218-86188,2014/3/14 00:00:00,Certified-Expired,ONLINE,DROISYS INC,4800 PATRICK HENRY DR,,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level II,OES,100984.0,Year,100984.0,,Year,santa clara,CALIFORNIA,INDIA,H-1B,100984.0,1
474,14091,17163,A-13208-83488,2014/3/24 00:00:00,Certified-Expired,ONLINE,"SERVICENOW, INC.",3260 JAY STREET,,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level IV,OES,118290.0,Year,118290.0,,Year,San Diego,CALIFORNIA,INDIA,H-1B,118290.0,1
476,14256,17356,A-13172-74112,2014/3/21 00:00:00,Certified-Expired,ONLINE,"OMNIVISION TECHNOLOGIES, INC.",4275 BURTON DRIVE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2131,Materials Engineers,Materials Engineers,Level II,OES,90667.0,Year,90667.0,,Year,Santa Clara,CALIFORNIA,TAIWAN,H-1B,90667.0,1
477,14290,17397,A-13168-72569,2014/4/3 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,86195.0,Year,86195.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,86195.0,1
480,14308,17418,A-13192-79444,2014/3/21 00:00:00,Certified-Expired,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,102731.0,Year,104000.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,102731.0,1
483,14357,17474,A-13197-80633,2014/4/17 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85176.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,85176.0,1
484,14411,17539,A-13189-78176,2014/4/16 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level III,OES,128294.0,Year,128294.0,171300.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,128294.0,1
485,14423,17560,A-13135-64080,2014/3/17 00:00:00,Certified-Expired,ONLINE,"ELECTRONIC COOLING SOLUTIONS, INC.",2915 COPPER ROAD,,SANTA CLARA,CALIFORNIA,95051,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Construction,17-2141,Mechanical Engineers,Mechanical Engineers,Level III,OES,105789.0,Year,106000.0,150000.0,Year,Santa Clara,CALIFORNIA,NETHERLANDS,H-1B,105789.0,1
486,14462,17611,A-13205-82734,2014/4/14 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85176.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,85176.0,1
